record_id,Title,Authors,Publication_Venue,Year,Abstract,DOI
acm_00017,Towards Hybrid Sentiment Analysis,"J. Hernandez, M. Petrov",Int. Conf. on Information and Knowledge Management,2017,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1017/cikm.2017.00017
acm_00127,Improving Transfer Learning with Semi-Supervised Models,"L. Li, W. Silva, G. Jackson, D. Nakamura",SIAM Int. Conf. on Data Mining,2007,We present a novel approach for improving transfer learning with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1127/sdm.2007.00127
acm_00363,Efficient Relation Extraction at Scale,"Y. Müller, S. Fischer, S. Cohen, S. Chen",Int. Conf. on Extending Database Technology,2003,This work addresses the problem of efficient relation extraction at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1363/edbt.2003.00363
acm_00082,Improving Graph Neural Networks with Parallel Models,"A. Wilson, P. White, Y. Müller",ACM Transactions on Database Systems,2010,We study the problem of improving graph neural networks with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1082/tods.2010.00082
acm_00060,Federated Learning: A Scalable Approach,T. Dubois,Proc. VLDB Endowment,2012,"In this paper, we propose federated learning: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1060/vldb.2012.00060
acm_00251,Robust Truth Discovery for Social Networks,"I. Okonkwo, E. Ferreira, N. Johansson, P. White",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1251/cvpr.2011.00251
acm_00258,Joint Approximate Nearest Neighbour at Scale,"R. Rossi, J. Martinez, W. Silva",ACM SIGIR Conf. on Research and Development in IR,2018,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1258/sigir.2018.00258
acm_00339,Anomaly Detection in the Wild,"F. Patel, P. Thomas, J. Hernandez, J. Martinez",Int. Conf. on Machine Learning,2003,We study the problem of anomaly detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1339/icml.2003.00339
acm_00208,Learning-Based Active Learning,C. Tanaka,Data Mining and Knowledge Discovery,2016,"In this paper, we propose learning-based active learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1208/dmkd.2016.00208
acm_00067,Improving Entity Resolution with Semi-Supervised Models,"M. Harris, W. Silva, A. Lee, D. Nakamura",SIAM Int. Conf. on Data Mining,2019,We present a novel approach for improving entity resolution with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1067/sdm.2019.00067
acm_00403,Learning-Based Relation Extraction,"S. Fischer, Y. Müller, S. Cohen, S. Chen",Conf. on Empirical Methods in Natural Language Processing,2019,This work addresses the problem of learning-based relation extraction. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1403/emnlp.2019.00403
acm_00398,Joint Causal Inferecne: A Survey,"P. Thomas, J. Martinez, M. Petrov",Advances in Neural Information Processing Systems,2014,We introduce a new method for joint causal inference: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1398/neurips.2014.00398
acm_00183,Efficient LSH Hashing at Scale,"R. Wang, Y. Müller, L. Garcia, S. Chen",Int. Conf. on Extending Database Technology,2015,This work addresses the problem of efficient lsh hashing at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1183/edbt.2015.00183
acm_00166,Time Series Forecasting for Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",Int. Joint Conf. on Artificial Intelligence,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1166/ijcai.2022.00166
acm_00069,Information Extraction in the Wild,"L. Garcia, R. Rossi",Int. Conf. on Machine Learning,2021,We present a novel approach for information extraction in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1069/icml.2021.00069
acm_00421,Self-Supervised Learning for Financial Transactions,"G. Jackson, A. Wilson",ACM SIGMOD Int. Conf. Management of Data,2012,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1421/sigmod.2013.00421
acm_00323,Efficient Relation Extraction: A Survey,"S. Fischer, Y. Müller, S. Cohen, S. Chen",ACM Transactions on Knowledge Discovery from Data,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1323/tkdd.2011.00323
acm_00479,Duplicate Detection Over Open Government Data,"A. Sharma, P. Thomas, O. O'Brien, J. Martinez",Knowledge and Information Systems,2023,We introduce a new method for duplicate detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1479/kais.2023.00479
acm_00103,Learning-Based LSH Hashing,"R. Wang, Y. Müller, L. Garcia, S. Chen",Conf. on Empirical Methods in Natural Language Processing,2007,"In this paper, we propose learning-based lsh hashing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1103/emnlp.2007.00103
acm_00477,Column Stores: From Theory to rPactice,"O. O'Brien, M. Petrov",Artificial Intelligence,2021,We study the problem of column stores: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1477/aij.2021.00477
acm_00142,Improving Data Augmentation with Parallel Models,"E. Ferreira, P. White, R. Yamamoto",ACM Transactions on Database Systems,2022,We introduce a new method for improving data augmentation with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1142/tods.2022.00142
acm_00055,Knowledge Graph Embedding with Adaptive Constraints,"E. Anderson, M. Brown, E. Kim, T. Dubois",Information Systems,2007,"In this paper, we propose knowledge graph embedding with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1055/is.2007.00055
acm_00388,Learning-Based Record Linkage,D. Nakamura,Data Mining and Knowledge Discovery,2004,We study the problem of learning-based record linkage. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1388/dmkd.2004.00388
acm_00456,Named Entity Recognition via Spatial Data,C. Deng,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2000,This work addresses the problem of named entity recognition via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1456/kdd.2000.00456
acm_00495,Knowledge Graph Embedding: A Adaptive Approach,"E. Anderson, M. Brown, E. Kim, T. Dubois",AAAI Conf. on Artificial Intelligence,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1495/aaai.2015.00495
acm_00337,Improving Sentiment Analysis with Hybrid Models,"J. Hernandez, M. Petrov",SIAM Int. Conf. on Data Mining,2001,We present a novel approach for improving sentiment analysis with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1337/sdm.2001.00337
acm_00182,Towards Parallel Data Augmentation,"E. Ferreira, P. White, R. Yamamoto",IEEE Int. Conf. on Data Engineering,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1182/icde.2014.00182
acm_00015,Knowledge Graph Embedding: A Adaptive Approach,"E. Anderson, M. Brown, E. Kim, T. Dubois",AAAI Conf. on Artificial Intelligence,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1015/aaai.2015.00015
acm_00141,Self-Supervised Learning via Financial Transactions,"G. Jackson, A. Wilson",IEEE Transactions on Knowledge and Data Engineering,2022,We present a novel approach for self-supervised learning via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1141/tkde.2021.00141
