entity_id,title,authors,venue,year,abstract,doi
0,Query Processing: A Scalable Approach,"Smith, J.",VLDB,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1000/vldb.2000.00000
1,Schema Matching for Financial Transactions,"Lee, A. and Wilson, A.",SIGMOD,2001,"In this paper, we propose schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1001/sigmod.2001.00001
2,Towards Parallel Graph Neural Networks,"Wilson, A. and White, P. and Müller, Y.",ICDE,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1002/icde.2002.00002
3,Efficient Relation Extraction at Scale,"Fischer, S. and Müller, Y. and Cohen, S. and Chen, S.",EDBT,2003,This work addresses the problem of efficient relation extraction at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1003/edbt.2003.00003
4,Topic Modelling: Challenges and Opportunities,"White, P.",PODS,2004,"In this paper, we propose topic modelling: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1004/pods.2004.00004
5,A Context-Aware Framework for Collaborative Filtering,"Kim, E. and Thompson, A.",ICDM,2005,"In this paper, we propose a context-aware framework for collaborative filtering. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1005/icdm.2005.00005
6,Time Series Forecasting via Heterogeneous Sources,"Müller, Y. and Chen, S. and Rossi, R.",KDD,2006,"In this paper, we propose time series forecasting via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1006/kdd.2006.00006
7,Improving Transfer Learning with Semi-Supervised Models,"Li, L. and Silva, W. and Jackson, G. and Nakamura, D.",SDM,2007,We present a novel approach for improving transfer learning with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1007/sdm.2007.00007
8,Multi-Source Active Learning: A Survey,"Tanaka, C.",NeurIPS,2008,We present a novel approach for multi-source active learning: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1008/neurips.2008.00008
9,Scalable Indexing in the Wild,"Cohen, S. and Rossi, R.",ICML,2009,"In this paper, we propose scalable indexing in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1009/icml.2009.00009
