entity_id,record_id,source,source_field,med_field,noisy_value,canonical
242,dblp_00242,dblp,pub_year,year,2001,2002
18,dblp_00018,dblp,paper_title,title,Joint Approximate Nearest Neighbour at Sacle,Joint Approximate Nearest Neighbour at Scale
406,dblp_00406,dblp,journal_or_conf,venue,Int. Joint Conf. on Artificial Intelligence,IJCAI
135,dblp_00135,dblp,paper_title,title,Knowledge rGaph Embedding: A Adaptive Approach,Knowledge Graph Embedding: A Adaptive Approach
66,dblp_00066,dblp,author_list,authors,"Yamamoto, R. and Thomas, P. and Chen, S.","Yamamoto, R. and Chen, S. and Thomas, P."
227,dblp_00227,dblp,journal_or_conf,venue,Int. Conf. on Information and Knowledge Management,CIKM
464,dblp_00464,dblp,pub_year,year,2009,2008
341,dblp_00341,dblp,journal_or_conf,venue,IEEE/CVF Conf. Computer Vision and Pattern Recognition,CVPR
138,dblp_00138,dblp,pub_year,year,2019,2018
131,dblp_00131,dblp,paper_title,title,Robust Truth Discovery for Scoial Networks,Robust Truth Discovery for Social Networks
498,dblp_00498,dblp,pub_year,year,2017,2018
33,dblp_00033,dblp,journal_or_conf,venue,Int. Conf. on Extending Database Technology,EDBT
311,dblp_00311,dblp,pub_year,year,2024,2023
399,dblp_00399,dblp,paper_title,title,Duplicate eDtection in the Wild,Duplicate Detection in the Wild
495,dblp_00495,dblp,journal_or_conf,venue,AAAI Conf. on Artificial Intelligence,AAAI
11,dblp_00011,dblp,paper_title,title,Robust Trtuh Discovery for Social Networks,Robust Truth Discovery for Social Networks
423,dblp_00423,dblp,pub_year,year,2016,2015
147,dblp_00147,dblp,pub_year,year,2004,2003
115,dblp_00115,dblp,pub_year,year,2018,2019
84,dblp_00084,dblp,journal_or_conf,venue,The VLDB Journal,VLDBJ
433,dblp_00433,dblp,journal_or_conf,venue,Conf. on Empirical Methods in Natural Language Processing,EMNLP
267,dblp_00267,dblp,pub_year,year,2002,2003
35,dblp_00035,dblp,author_list,authors,"Brown, M. and Nguyen, M. and Dubois, T. and Kumar, P.","Kumar, P. and Brown, M. and Nguyen, M. and Dubois, T."
171,dblp_00171,dblp,pub_year,year,2002,2003
255,dblp_00255,dblp,author_list,authors,"Dubois, T. and Kim, E. and Brown, M. and Anderson, E.","Anderson, E. and Brown, M. and Kim, E. and Dubois, T."
335,dblp_00335,dblp,author_list,authors,"Brown, M. and Anderson, E. and Dubois, T. and Kim, E.","Anderson, E. and Brown, M. and Kim, E. and Dubois, T."
59,dblp_00059,dblp,paper_title,title,Anomaly Detection Over Open Government Daat,Anomaly Detection Over Open Government Data
233,dblp_00233,dblp,journal_or_conf,venue,ACM Transactions on Knowledge Discovery from Data,TKDD
479,dblp_00479,dblp,journal_or_conf,venue,Knowledge and Information Systems,KAIS
190,dblp_00190,dblp,paper_title,title,Text Classification wtih Generative Constraints,Text Classification with Generative Constraints
492,dblp_00492,dblp,pub_year,year,2013,2012
