left_source,left_id,right_source,right_id,entity_id,label
dblp,dblp_00000,acm,acm_00000,0,1
dblp,dblp_00001,acm,acm_00001,1,1
dblp,dblp_00002,acm,acm_00002,2,1
dblp,dblp_00002,scholar,scholar_00002,2,1
acm,acm_00002,scholar,scholar_00002,2,1
dblp,dblp_00003,acm,acm_00003,3,1
dblp,dblp_00003,scholar,scholar_00003,3,1
acm,acm_00003,scholar,scholar_00003,3,1
dblp,dblp_00005,scholar,scholar_00005,5,1
dblp,dblp_00006,acm,acm_00006,6,1
dblp,dblp_00006,scholar,scholar_00006,6,1
acm,acm_00006,scholar,scholar_00006,6,1
dblp,dblp_00007,scholar,scholar_00007,7,1
dblp,dblp_00008,acm,acm_00008,8,1
dblp,dblp_00009,acm,acm_00009,9,1
dblp,dblp_00009,scholar,scholar_00009,9,1
acm,acm_00009,scholar,scholar_00009,9,1
dblp,dblp_00010,acm,acm_00010,10,1
dblp,dblp_00011,acm,acm_00011,11,1
dblp,dblp_00011,scholar,scholar_00011,11,1
acm,acm_00011,scholar,scholar_00011,11,1
dblp,dblp_00012,acm,acm_00012,12,1
dblp,dblp_00012,scholar,scholar_00012,12,1
acm,acm_00012,scholar,scholar_00012,12,1
dblp,dblp_00013,acm,acm_00013,13,1
dblp,dblp_00013,scholar,scholar_00013,13,1
acm,acm_00013,scholar,scholar_00013,13,1
dblp,dblp_00015,acm,acm_00015,15,1
dblp,dblp_00015,scholar,scholar_00015,15,1
acm,acm_00015,scholar,scholar_00015,15,1
dblp,dblp_00016,scholar,scholar_00016,16,1
dblp,dblp_00017,acm,acm_00017,17,1
dblp,dblp_00017,scholar,scholar_00017,17,1
acm,acm_00017,scholar,scholar_00017,17,1
dblp,dblp_00018,acm,acm_00018,18,1
dblp,dblp_00019,acm,acm_00019,19,1
dblp,dblp_00019,scholar,scholar_00019,19,1
acm,acm_00019,scholar,scholar_00019,19,1
acm,acm_00020,scholar,scholar_00020,20,1
dblp,dblp_00022,acm,acm_00022,22,1
dblp,dblp_00023,acm,acm_00023,23,1
dblp,dblp_00023,scholar,scholar_00023,23,1
acm,acm_00023,scholar,scholar_00023,23,1
dblp,dblp_00024,acm,acm_00024,24,1
dblp,dblp_00024,scholar,scholar_00024,24,1
acm,acm_00024,scholar,scholar_00024,24,1
dblp,dblp_00025,acm,acm_00025,25,1
dblp,dblp_00026,acm,acm_00026,26,1
dblp,dblp_00027,acm,acm_00027,27,1
dblp,dblp_00028,scholar,scholar_00028,28,1
dblp,dblp_00029,acm,acm_00029,29,1
dblp,dblp_00030,acm,acm_00030,30,1
dblp,dblp_00030,scholar,scholar_00030,30,1
acm,acm_00030,scholar,scholar_00030,30,1
dblp,dblp_00031,acm,acm_00031,31,1
dblp,dblp_00032,scholar,scholar_00032,32,1
dblp,dblp_00033,acm,acm_00033,33,1
dblp,dblp_00033,scholar,scholar_00033,33,1
acm,acm_00033,scholar,scholar_00033,33,1
dblp,dblp_00035,acm,acm_00035,35,1
dblp,dblp_00035,scholar,scholar_00035,35,1
acm,acm_00035,scholar,scholar_00035,35,1
dblp,dblp_00036,acm,acm_00036,36,1
dblp,dblp_00036,scholar,scholar_00036,36,1
acm,acm_00036,scholar,scholar_00036,36,1
dblp,dblp_00037,acm,acm_00037,37,1
dblp,dblp_00037,scholar,scholar_00037,37,1
acm,acm_00037,scholar,scholar_00037,37,1
dblp,dblp_00038,acm,acm_00038,38,1
dblp,dblp_00038,scholar,scholar_00038,38,1
acm,acm_00038,scholar,scholar_00038,38,1
dblp,dblp_00039,acm,acm_00039,39,1
dblp,dblp_00039,scholar,scholar_00039,39,1
acm,acm_00039,scholar,scholar_00039,39,1
dblp,dblp_00041,acm,acm_00041,41,1
dblp,dblp_00041,scholar,scholar_00041,41,1
acm,acm_00041,scholar,scholar_00041,41,1
dblp,dblp_00042,acm,acm_00042,42,1
dblp,dblp_00043,acm,acm_00043,43,1
